Rank,Title,Author,Category
1,7 Habits of Highly Effective People,Stephen Covey,Self-Improvement
2,Mindset: The New Psychology of Success,Carol Dweck,Self-Improvement
3,Man's Search for Meaning,Viktor Frankl,Self-Improvement
4,The Power of Now,Eckhart Tolle,Self-Improvement
5,Daring Greatly,Brené Brown,Self-Improvement
6,Atomic Habits,James Clear,Self-Improvement
7,You Are a Badass,Jen Sincero,Self-Improvement
8,Quiet: The Power of Introverts in a World That Can't Stop Talking,Susan Cain,Self-Improvement
9,The Compound Effect,Darren Hardy,Self-Improvement
10,Deep Work,Cal Newport,Self-Improvement
11,The Alchemist,Paulo Coelho,Self-Improvement
12,Getting Things Done,David Allen,Self-Improvement
13,Think and Grow Rich,Napoleon Hill,Self-Improvement
14,Emotional Intelligence 2.0,Travis Bradberry and Jean Greaves,Self-Improvement
15,The ONE Thing,Gary Keller and Jay Papasan,Self-Improvement
16,The 7-Day Productivity Planner,Michael Hyatt,Self-Improvement
17,The 5 Dysfunctions of a Team,Patrick Lencioni,Self-Improvement
18,The Procrastination Equation,Piers Steel,Self-Improvement
19,Rich Dad Poor Dad,Robert Kiyosaki and Sharon Lechter,Self-Improvement
20,The Power of Habit,Charles Duhigg,Self-Improvement
21,First Things First,Stephen Covey,Self-Improvement
22,The Millionaire Next Door,Thomas J. Stanley,Self-Improvement
23,Make Time: How to Focus on What Matters Every Day,Jake Knapp and John Zeratsky,Self-Improvement
24,Indistractable: How to Control Your Attention and Get Things Done,Nir Eyal,Self-Improvement
25,The Automatic Millionaire,David Bach,Self-Improvement
26,Feel the Fear and Do It Anyway,Susan Jeffers,Self-Improvement
27,The Gifts of Imperfection,Brené Brown,Self-Improvement
28,Rising Strong,Brené Brown,Self-Improvement
29,Crucial Conversations,"Kerry Patterson, Joseph Grenny, Al Switzler, Ron McMillan",Self-Improvement
30,The Happiness Project,Gretchen Rubin,Self-Improvement
31,The 4-Hour Workweek,Tim Ferriss,Self-Improvement
32,The Obstacle Is the Way,Ryan Holiday,Self-Improvement
33,Ego is the Enemy,Ryan Holiday,Self-Improvement
34,Learned Optimism,Martin Seligman,Self-Improvement
35,Man's Search for Ultimate Meaning,Viktor Frankl,Self-Improvement
36,The Year of Magical Thinking,Joan Didion,Self-Improvement
37,Tuesdays with Morrie,Mitch Albom,Self-Improvement
38,Dumbing Down of America,John Taylor Gatto,Self-Improvement
39,The Art of Happiness,Dalai Lama,Self-Improvement
40,Meditations,Marcus Aurelius,Self-Improvement
41,The Stoic Journal,Ryan Holiday,Self-Improvement
42,The Mindful Way Through Depression,"Mark Williams, John Teasdale, Zindel Segal",Self-Improvement
43,The Gifts of Imperfection Journal,Brené Brown,Self-Improvement
44,The Power of Vulnerability,Brené Brown,Self-Improvement
45,The Now Habit,Neil Fiore,Self-Improvement
46,The Happiness Trap,Russ Harris,Self-Improvement
47,Mindset for Work,Carol Dweck,Self-Improvement
48,Grit: The Power of Passion and Perseverance,Angela Duckworth,Self-Improvement
49,The Charisma Myth,Olivia Fox Cabane,Self-Improvement
50,How to Win Friends and Influence People,Dale Carnegie,Self-Improvement
51,Start with Why,Simon Sinek,
52,Good to Great,Jim Collins,
53,Blue Ocean Strategy,W. Chan Kim and Renée Mauborgne,
54,Rework,Jason Fried and David Heinemeier Hansson,
55,Crucial Conversations,"Kerry Patterson, Joseph Grenny, Al Switzler, Ron McMillan",
56,Never Eat Alone,Keith Ferrazzi,
57,The Lean Startup,Eric Ries,
58,Hooked: How to Build Habit-Forming Products,Nir Eyal,
59,"Thinking, Fast and Slow",Daniel Kahneman,
60,Zero to One,Peter Thiel and Blake Masters,
61,Crossing the Chasm,Geoffrey A. Moore,
62,Built to Last,Jim Collins,
63,The Innovator's Dilemma,Clayton Christensen,
64,Business Adventures,John Brooks,
65,The Hard Thing About Hard Things,Ben Horowitz,
66,The E-Myth Revisited,Michael E. Gerber,
67,The 10X Rule,Grant Cardone,
68,Traction,Gabriel Weinberg and Justin Meires,
69,The Startup Owner's Manual,Steve Blank and Bob Dorf,
70,"Creativity, Inc.",Ed Catmull and Amy Wallace,
71,The Mom Test,Rob Fitzpatrick,
72,The Go-Giver,Bob Burg and John David Mann,
73,This Is Marketing,Seth Godin,
74,Influence: The Psychology of Persuasion,Robert Cialdini,
75,Made to Stick: Why Some Ideas Survive and Others Die,Chip Heath and Dan Heath,
76,Talk Like TED,Carmine Gallo,
77,Contagious: Why Things Catch On,Jonah Berger,
78,Selling to Win,Zig Ziglar,
79,High-Velocity Marketing,Joey Coleman,
80,Permission Marketing,Seth Godin,
81,The Long Tail,Chris Anderson,
82,Good Strategy / Bad Strategy,Richard Rumelt,
83,The Advantage,Patrick Lencioni,
84,Essentialism,Greg McKeown,
85,The Effective Executive,Peter F. Drucker,
86,The 4-Hour Workweek,Tim Ferriss,
87,The 7 Habits of Highly Effective People,Stephen Covey,
88,Mindset: The New Psychology of Success,Carol Dweck,
89,Think and Grow Rich,Napoleon Hill,
90,Rich Dad Poor Dad,Robert Kiyosaki and Sharon Lechter,
91,The Automatic Millionaire,David Bach,
92,The Millionaire Next Door,Thomas J. Stanley,
93,The Power of Habit,Charles Duhigg,
94,Deep Work,Cal Newport,
95,Getting Things Done,David Allen,
96,The 7-Day Productivity Planner,Michael Hyatt,
97,Building a Story Brand,Donald Miller,
98,The 21 Irrefutable Laws of Leadership,John C. Maxwell,
99,Leaders Eat Last,Simon Sinek,
100,The Start-Up J Curve,Howard Love,
