Rank,Title,Author
1,"""How to Win Friends and Influence People""",Dale Carnegie
2,"""Think and Grow Rich""",Napoleon Hill
3,"""The 7 Habits of Highly Effective People""",Stephen R. Covey
4,"""Awaken the Giant Within""",Tony Robbins
5,"""The Power of Now: A Guide to Spiritual Enlightenment""",Eckhart Tolle
6,"""Mindset: The New Psychology of Success""",Carol S. Dweck
7,"""Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones""",James Clear
8,"""The Four Agreements: A Practical Guide to Personal Freedom""",Don Miguel Ruiz
9,"""The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life""",Mark Manson
10,"""Rich Dad Poor Dad""",Robert T. Kiyosaki
11,"""Man's Search for Meaning""",Viktor E. Frankl
12,"""Getting Things Done: The Art of Stress-Free Productivity""",David Allen
13,"""The Alchemist""",Paulo Coelho
14,"""Drive: The Surprising Truth About What Motivates Us""",Daniel H. Pink
15,"""Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead""",Brené Brown
16,"""The Road Less Traveled: A New Psychology of Love, Traditional Values, and Spiritual Growth""",M. Scott Peck
17,"""Emotional Intelligence: Why It Can Matter More Than IQ""",Daniel Goleman
18,"""The Magic of Thinking Big""",David J. Schwartz
19,"""You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life""",Jen Sincero
20,"""Outliers: The Story of Success""",Malcolm Gladwell
21,"""The 5 AM Club: Own Your Morning. Elevate Your Life.""",Robin Sharma
22,"""Can’t Hurt Me: Master Your Mind and Defy the Odds""",David Goggins
23,"""The Happiness Project""",Gretchen Rubin
24,"""Good to Great: Why Some Companies Make the Leap and Others Don't""",Jim Collins
25,"""Who Moved My Cheese?""",Spencer Johnson
26,"""Lean In: Women, Work, and the Will to Lead""",Sheryl Sandberg
27,"""The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing""",Marie Kondo
28,"""The Daily Stoic: 366 Meditations on Wisdom, Perseverance, and the Art of Living""",Ryan Holiday and Stephen Hanselman
29,"""The Art of Happiness""",Dalai Lama
30,"""Deep Work: Rules for Focused Success in a Distracted World""",Cal Newport
31,"""The Power of Habit: Why We Do What We Do in Life and Business""",Charles Duhigg
32,"""The Lean Startup: How Today's Entrepreneurs Use Continuous Innovation to Create Radically Successful Businesses""",Eric Ries
33,"""Start with Why: How Great Leaders Inspire Everyone to Take Action""",Simon Sinek
34,"""Principles: Life and Work""",Ray Dalio
35,"""The Obstacle Is the Way: The Timeless Art of Turning Trials into Triumph""",Ryan Holiday
36,"""The Color of Money: Black Banks and the Racial Wealth Gap""",Mehrsa Baradaran
37,"""The Gifts of Imperfection: Let Go of Who You Think You're Supposed to Be and Embrace Who You Are""",Brené Brown
38,"""The First 90 Days: Proven Strategies for Getting Up to Speed Faster and Smarter""",Michael D. Watkins
39,"""The Now Habit: A Strategic Program for Overcoming Procrastination and Enjoying Guilt-Free Play""",Neil Fiore
40,"""Mindfulness: An Eight-Week Plan for Finding Peace in a Frantic World""",Mark Williams and Danny Penman
41,"""Essentialism: The Disciplined Pursuit of Less""",Greg McKeown
42,"""Quiet: The Power of Introverts in a World That Can't Stop Talking""",Susan Cain
43,"""The Compound Effect: Jumpstart Your Income, Your Life, Your Success""",Darren Hardy
44,"""Thinking, Fast and Slow""",Daniel Kahneman
45,"""The 48 Laws of Power""",Robert Greene
46,"""The Monk Who Sold His Ferrari: A Fable About Fulfilling Your Dreams & Reaching Your Destiny""",Robin Sharma
47,"""The Four Hour Work Week: Escape 9-5, Live Anywhere, and Join the New Rich""",Timothy Ferriss
48,"""Grit: The Power of Passion and Perseverance""",Angela Duckworth
49,"""The Five Love Languages: How to Express Heartfelt Commitment to Your Mate""",Gary Chapman
50,"""How to Stop Worrying and Start Living""",Dale Carnegie
51,"""Good to Great: Why Some Companies Make the Leap… and Others Don't""",Jim Collins
52,"""The Lean Startup: How Today's Entrepreneurs Use Continuous Innovation to Create Radically Successful Businesses""",Eric Ries
53,"""Thinking, Fast and Slow""",Daniel Kahneman
54,"""Outliers: The Story of Success""",Malcolm Gladwell
55,"""The Innovator's Dilemma: When New Technologies Cause Great Firms to Fail""",Clayton M. Christensen
56,"""How to Win Friends and Influence People""",Dale Carnegie
57,"""Rich Dad Poor Dad: What the Rich Teach Their Kids About Money That the Poor and Middle Class Do Not!""",Robert T. Kiyosaki
58,"""The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change""",Stephen R. Covey
59,"""Lean In: Women, Work, and the Will to Lead""",Sheryl Sandberg
60,"""The Hard Thing About Hard Things: Building a Business When There Are No Easy Answers""",Ben Horowitz
61,"""Zero to One: Notes on Startups, or How to Build the Future""",Peter Thiel with Blake Masters
62,"""The E-Myth Revisited: Why Most Small Businesses Don't Work and What to Do About It""",Michael E. Gerber
63,"""Drive: The Surprising Truth About What Motivates Us""",Daniel H. Pink
64,"""Start with Why: How Great Leaders Inspire Everyone to Take Action""",Simon Sinek
65,"""Crossing the Chasm: Marketing and Selling High-Tech Products to Mainstream Customers""",Geoffrey A. Moore
66,"""The Four Steps to the Epiphany: Successful Strategies for Products that Win""",Steve Blank
67,"""The First 90 Days: Proven Strategies for Getting Up to Speed Faster and Smarter""",Michael D. Watkins
68,"""The Fifth Discipline: The Art & Practice of The Learning Organization""",Peter M. Senge
69,"""Blue Ocean Strategy: How to Create Uncontested Market Space and Make the Competition Irrelevant""",W. Chan Kim and Renée Mauborgne
70,"""The Art of War""",Sun Tzu
71,"""Competitive Strategy: Techniques for Analyzing Industries and Competitors""",Michael E. Porter
72,"""Built to Last: Successful Habits of Visionary Companies""",Jim Collins and Jerry I. Porras
73,"""Influence: The Psychology of Persuasion""",Robert B. Cialdini
74,"""Purple Cow: Transform Your Business by Being Remarkable""",Seth Godin
75,"""The Tipping Point: How Little Things Can Make a Big Difference""",Malcolm Gladwell
76,"""The Power of Habit: Why We Do What We Do in Life and Business""",Charles Duhigg
77,"""Principles: Life and Work""",Ray Dalio
78,"""The Toyota Way: 14 Management Principles from the World's Greatest Manufacturer""",Jeffrey K. Liker
79,"""Freakonomics: A Rogue Economist Explores the Hidden Side of Everything""",Steven D. Levitt and Stephen J. Dubner
80,"""Emotional Intelligence: Why It Can Matter More Than IQ""",Daniel Goleman
81,"""Who Moved My Cheese? An Amazing Way to Deal with Change in Your Work and in Your Life""",Spencer Johnson
82,"""The Intelligent Investor: The Definitive Book on Value Investing""",Benjamin Graham
83,"""Getting Things Done: The Art of Stress-Free Productivity""",David Allen
84,"""Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead""",Brené Brown
85,"""Creativity, Inc.: Overcoming the Unseen Forces That Stand in the Way of True Inspiration""",Ed Catmull
86,"""Measure What Matters: Online Tools for Understanding Customers, Social Media, Engagement, and Key Relationships""",Katie Delahaye Paine
87,"""Rework""",Jason Fried and David Heinemeier Hansson
88,"""The War of Art: Break Through the Blocks and Win Your Inner Creative Battles""",Steven Pressfield
89,"""The $100 Startup: Reinvent the Way You Make a Living, Do What You Love, and Create a New Future""",Chris Guillebeau
90,"""Scaling Up: How a Few Companies Make It...and Why the Rest Don’t""",Verne Harnish
91,"""The Speed of Trust: The One Thing that Changes Everything""",Stephen M.R. Covey
92,"""The Innovator's DNA: Mastering the Five Skills of Disruptive Innovators""","Jeff Dyer, Hal Gregersen, Clayton M. Christensen"
93,"""The Goal: A Process of Ongoing Improvement""",Eliyahu M. Goldratt
94,"""Delivering Happiness: A Path to Profits, Passion, and Purpose""",Tony Hsieh
95,"""Made to Stick: Why Some Ideas Survive and Others Die""",Chip Heath and Dan Heath
96,"""Mindset: The New Psychology of Success""",Carol S. Dweck
97,"""The Lean Product Playbook: How to Innovate with Minimum Viable Products and Rapid Customer Feedback""",Dan Olsen
98,"""Originals: How Non-Conformists Move the World""",Adam Grant
99,"""Disrupted: My Misadventure in the Start-Up Bubble""",Dan Lyons
100,"""Contagious: How to Build Word of Mouth in the Digital Age""",Jonah Berger
101,"""The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change""",Stephen R. Covey
102,"""How to Win Friends and Influence People""",Dale Carnegie
103,"""Good to Great: Why Some Companies Make the Leap and Others Don't""",Jim Collins
104,"""Start with Why: How Great Leaders Inspire Everyone to Take Action""",Simon Sinek
105,"""Leaders Eat Last: Why Some Teams Pull Together and Others Don’t""",Simon Sinek
106,"""The Five Dysfunctions of a Team: A Leadership Fable""",Patrick Lencioni
107,"""Drive: The Surprising Truth About What Motivates Us""",Daniel H. Pink
108,"""Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead""",Brené Brown
109,"""Lean In: Women, Work, and the Will to Lead""",Sheryl Sandberg
110,"""Primal Leadership: Unleashing the Power of Emotional Intelligence""","Daniel Goleman, Richard Boyatzis, Annie McKee"
111,"""The Leadership Challenge: How to Make Extraordinary Things Happen in Organizations""",James M. Kouzes and Barry Z. Posner
112,"""Developing the Leader Within You""",John C. Maxwell
113,"""On Becoming a Leader""",Warren Bennis
114,"""The 21 Irrefutable Laws of Leadership: Follow Them and People Will Follow You""",John C. Maxwell
115,"""Emotional Intelligence: Why It Can Matter More Than IQ""",Daniel Goleman
116,"""Quiet: The Power of Introverts in a World That Can't Stop Talking""",Susan Cain
117,"""The Power of Positive Leadership: How and Why Positive Leaders Transform Teams and Organizations and Change the World""",Jon Gordon
118,"""Dare to Lead: Brave Work. Tough Conversations. Whole Hearts.""",Brené Brown
119,"""The Hard Thing About Hard Things: Building a Business When There Are No Easy Answers""",Ben Horowitz
120,"""Extreme Ownership: How U.S. Navy SEALs Lead and Win""",Jocko Willink and Leif Babin
121,"""Turn the Ship Around!: A True Story of Turning Followers into Leaders""",L. David Marquet
122,"""The Art of War""",Sun Tzu
123,"""Fierce Conversations: Achieving Success at Work and in Life One Conversation at a Time""",Susan Scott
124,"""Multipliers: How the Best Leaders Make Everyone Smarter""",Liz Wiseman
125,"""The Servant: A Simple Story About the True Essence of Leadership""",James C. Hunter
126,"""The First 90 Days: Proven Strategies for Getting Up to Speed Faster and Smarter""",Michael D. Watkins
127,"""The Innovator's Dilemma: When New Technologies Cause Great Firms to Fail""",Clayton M. Christensen
128,"""Mindset: The New Psychology of Success""",Carol S. Dweck
129,"""The Speed of Trust: The One Thing That Changes Everything""",Stephen M.R. Covey
130,"""Leading Change""",John P. Kotter
131,"""The New One Minute Manager""",Kenneth H. Blanchard and Spencer Johnson
132,"""The Effective Executive: The Definitive Guide to Getting the Right Things Done""",Peter F. Drucker
133,"""Leadership and Self-Deception: Getting Out of the Box""",The Arbinger Institute
134,"""The 48 Laws of Power""",Robert Greene
135,"""Leaders: Myth and Reality""","Stanley McChrystal, Jeff Eggers, and Jay Mangone"
136,"""Strengths Based Leadership: Great Leaders, Teams, and Why People Follow""",Tom Rath and Barry Conchie
137,"""The Next Level: What Insiders Know About Executive Success""",Scott Eblin
138,"""Team of Teams: New Rules of Engagement for a Complex World""","General Stanley McChrystal with Tantum Collins, David Silverman, and Chris Fussell"
139,"""Crucial Conversations: Tools for Talking When Stakes Are High""","Kerry Patterson, Joseph Grenny, Ron McMillan, Al Switzler"
140,"""Coaching for Performance: The Principles and Practice of Coaching and Leadership""",John Whitmore
141,"""The Score Takes Care of Itself: My Philosophy of Leadership""",Bill Walsh with Steve Jamison and Craig Walsh
142,"""Trillion Dollar Coach: The Leadership Playbook of Silicon Valley's Bill Campbell""","Eric Schmidt, Jonathan Rosenberg, and Alan Eagle"
143,"""Leadership on the Line: Staying Alive through the Dangers of Change""",Ronald A. Heifetz and Marty Linsky
144,"""Wooden on Leadership: How to Create a Winning Organization""",John Wooden and Steve Jamison
145,"""Finding Your True North: A Personal Guide""",Bill George
146,"""The CEO Next Door: The 4 Behaviors That Transform Ordinary People into World-Class Leaders""",Elena L. Botelho and Kim R. Powell
147,"""The No Asshole Rule: Building a Civilized Workplace and Surviving One That Isn't""",Robert I. Sutton
148,"""The Leadership Moment: Nine True Stories of Triumph and Disaster and Their Lessons for Us All""",Michael Useem
149,"""True North: Discover Your Authentic Leadership""",Bill George with Peter Sims
150,"""Leadershift: The 11 Essential Changes Every Leader Must Embrace""",John C. Maxwell
151,"""Getting Things Done: The Art of Stress-Free Productivity""",David Allen
152,"""Deep Work: Rules for Focused Success in a Distracted World""",Cal Newport
153,"""The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change""",Stephen R. Covey
154,"""Eat That Frog!: 21 Great Ways to Stop Procrastinating and Get More Done in Less Time""",Brian Tracy
155,"""The 4-Hour Workweek: Escape 9-5, Live Anywhere, and Join the New Rich""",Timothy Ferriss
156,"""Essentialism: The Disciplined Pursuit of Less""",Greg McKeown
157,"""Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones""",James Clear
158,"""The Power of Habit: Why We Do What We Do in Life and Business""",Charles Duhigg
159,"""Make Time: How to Focus on What Matters Every Day""",Jake Knapp and John Zeratsky
160,"""The One Thing: The Surprisingly Simple Truth Behind Extraordinary Results""",Gary Keller with Jay Papasan
